VIN,IIN,VOUT,IOUT,P_LOSS,EFF,D
36.071255,0.1087934,11.546707,0.12767,2.450146391,0.375649835,0.852145375
36.071039,0.140322,11.541639,0.225478,2.459174656,0.514146924,0.622331225
36.065862,0.1577948,11.538295,0.280008,2.460190575,0.567705464,0.563536756
36.061441,0.201152,11.531285,0.414602,2.472937156,0.659085363,0.485168909
36.060146,0.2244202,11.52654,0.487308,2.475650023,0.694085668,0.460530506
36.052382,0.2721024,11.518344,0.637698,2.464714736,0.748753324,0.426694768
36.052921,0.2966896,11.514677,0.713868,2.47656727,0.768469959,0.415608488
36.047744,0.3474858,11.504971,0.872914,2.483228907,0.801755292,0.398075641
36.044401,0.3732408,11.501412,0.953844,2.482688237,0.815457983,0.391301722
36.039979,0.4259186,11.492137,1.118516,2.495958291,0.837397886,0.38078901
36.03793,0.451825,11.487931,1.199228,2.506189205,0.846084003,0.376763218
36.036744,0.5043944,11.47952,1.36455,2.512352852,0.861781927,0.369641567
36.030381,0.5306898,11.473912,1.446994,2.518273866,0.868297699,0.366753283
36.027361,0.5833674,11.4655,1.612098,2.533678296,0.879447322,0.361868447
36.026283,0.6360882,11.455901,1.77742,2.553945951,0.888551326,0.357871634
36.02391,0.662189,11.453097,1.858782,2.565826391,0.892439093,0.356248877
36.016793,0.7146936,11.442529,2.024536,2.575159558,0.899958727,0.353016
36.01194,0.7412702,11.438215,2.106764,2.59695838,0.902715885,0.351852509
36.007194,0.7934072,11.428832,2.27057,2.618403897,0.908346042,0.349430848
36.005685,0.819919,11.424842,2.353448,2.633973684,0.910778524,0.348390532
36.001371,0.8721212,11.415136,2.517254,2.662762122,0.915192065,0.34645737
35.997273,0.8984384,11.411361,2.599266,2.680169697,0.917128655,0.345650811
35.997704,0.9511158,11.402734,2.764586,2.71414626,0.920727045,0.344035526
35.995655,0.9765464,11.398528,2.844868,2.724119752,0.922503296,0.343265979
35.988753,1.0292888,11.389792,3.009972,2.759865383,0.925495269,0.341959593
35.98789,1.0555412,11.384939,3.091984,2.784651367,0.926694045,0.341379904
35.983037,1.108089,11.376743,3.25644,2.824726511,0.929155858,0.340276191
35.981635,1.1343414,11.372429,3.338884,2.844236991,0.930314711,0.33973669
35.974409,1.2248188,11.703299,3.507884,3.008317153,0.931725566,0.349161717
35.971282,1.2519144,11.700064,3.590976,3.0183169,0.932975392,0.348627894
35.971821,1.3056952,11.696289,3.755866,3.038539834,0.935306492,0.347641583
35.967939,1.3322718,11.694779,3.837228,3.043537401,0.936485884,0.347196414
35.960821,1.3860954,11.688955,4.002116,3.06457474,0.938518069,0.346340636
35.957693,1.4131046,11.685397,4.084776,3.079752168,0.939389253,0.345944208
35.951977,1.4666254,11.680651,4.249236,3.094239916,0.941317041,0.345150375
35.945938,1.4935914,11.6772,4.332114,3.101582261,0.942230092,0.344771952
35.93731,1.5470042,11.670837,4.496352,3.11897822,0.943898395,0.344057627
35.925555,1.6011306,11.662641,4.661458,3.156594242,0.945123233,0.34348279
35.899672,1.627945,11.653366,4.743686,3.162782387,0.945882328,0.343181442
35.840897,1.681272,11.630719,4.907492,3.180636134,0.947216627,0.342592917
35.848661,1.7083242,11.632337,4.990152,3.194005379,0.947845425,0.342339111
35.842514,1.7617586,11.627268,5.153958,3.219406358,0.949016349,0.34182634
35.845642,1.7886814,11.625974,5.236836,3.233113938,0.949574332,0.34155765
35.843808,1.842613,11.622954,5.401292,3.267298134,0.950530162,0.341143008
35.842406,1.8684978,11.620366,5.481356,3.276093861,0.951082237,0.340882402
35.842622,1.9224296,11.616052,5.646244,3.317853566,0.951848813,0.34047937
35.843593,1.9493738,11.616052,5.728904,3.325314325,0.952408867,0.340269936
35.83874,2.0027434,11.61066,5.893144,3.352508684,0.953291936,0.339842943
35.84122,2.0297524,11.610228,5.975588,3.3708632,0.953664348,0.339674087
35.833347,2.083057,11.603865,6.138962,3.407218014,0.954353089,0.339317461
35.834749,2.1099588,11.602895,6.221406,3.423523428,0.954721194,0.33914501
35.833347,2.1637608,11.598365,6.386512,3.461694319,0.95535302,0.338801649
35.832592,2.1903374,11.596208,6.46809,3.480149394,0.955658677,0.338637434
35.83119,2.244161,11.594483,6.633194,3.502504113,0.956442453,0.338322835
35.830436,2.2711268,11.591247,6.715856,3.530317743,0.956616926,0.338173838
35.826661,2.3250802,11.587149,6.881176,3.566648516,0.957183019,0.337889948
35.822347,2.3521542,11.585316,6.963838,3.581420147,0.957495448,0.337766933
35.815984,2.4055454,11.578737,7.127428,3.630361259,0.957863409,0.337505395
35.817925,2.4325114,11.578198,7.210304,3.645183535,0.958162657,0.337365997
35.809729,2.486443,11.572698,7.375842,3.680458042,0.958664582,0.337106326
35.812533,2.5126738,11.571404,7.456122,3.707413445,0.958799748,0.336994727
35.813612,2.5666062,11.567629,7.621444,3.757401967,0.95912288,0.336761144
35.811131,2.619954,11.564933,7.78525,3.78762127,0.959630363,0.336527921
35.804876,2.6469416,11.562776,7.868344,3.793516604,0.959972777,0.336403899
35.801209,2.7008084,11.558247,8.033016,3.844622914,0.960238544,0.336213497
35.808651,2.7267152,11.558139,8.112214,3.877895963,0.960283734,0.336124663
35.805847,2.7806468,11.552423,8.277536,3.937816612,0.96044916,0.335926875
35.804121,2.807656,11.551776,8.35998,3.953038826,0.960676319,0.335844823
35.80067,2.8610688,11.547246,8.524222,3.996891563,0.960978594,0.335639874
35.800994,2.8878832,11.545844,8.606884,4.015349126,0.961162738,0.335531791
35.798082,2.9412746,11.541746,8.77004,4.070415225,0.961341644,0.335377558
35.796572,2.9681324,11.539374,8.852918,4.091833369,0.961488252,0.335271647
35.792905,3.0219128,11.534736,9.018022,4.142534756,0.961701013,0.335097076
35.794954,3.048576,11.533766,9.099602,4.170957524,0.96177769,0.335023004
35.792366,3.1022482,11.530962,9.264274,4.210811546,0.962077334,0.334861447
35.785033,3.129279,11.527511,9.346934,4.23446778,0.962185956,0.334792029
35.786003,3.181503,11.524168,9.507928,4.282316299,0.962387413,0.334615807
35.784062,3.2085338,11.521687,9.590372,4.317108031,0.962399237,0.334557804
35.782013,3.2618168,11.518128,9.754394,4.362012487,0.962626603,0.334394612
35.777052,3.2888692,11.514677,9.837056,4.395521919,0.962644092,0.334334703
35.776944,3.3423036,11.511657,10.00216,4.435973549,0.962902913,0.334158182
35.779532,3.3687722,11.511226,10.082874,4.466851387,0.962940871,0.334108331
35.773062,3.4226176,11.505942,10.24841,4.519900555,0.963084021,0.333965718
35.773601,3.4495834,11.504432,10.331072,4.550904857,0.963121908,0.333903723
35.769287,3.5028882,11.499471,10.49488,4.610245146,0.963205114,0.333771153
35.766699,3.5566036,11.496236,10.659984,4.658278603,0.963380607,0.333640613
35.765513,3.5827914,11.494618,10.739616,4.692589006,0.963379309,0.333605168
35.762385,3.6365502,11.489765,10.90537,4.751569786,0.963463996,0.333464174
35.755914,3.6634944,11.4875,10.988464,4.761610506,0.963649495,0.333394585
35.755052,3.7167342,11.482647,11.151838,4.839405436,0.963583929,0.333284451
35.755914,3.7436568,11.481137,11.234498,4.873059922,0.963595268,0.333228668
35.749444,3.7968536,11.476716,11.397872,4.925265201,0.963714219,0.333119516
35.755806,3.8237114,11.4765,11.480316,4.966036444,0.963677292,0.333066738
35.749767,3.8774052,11.472186,11.64542,5.017908176,0.963800022,0.332955376
35.743728,3.9040036,11.468304,11.726784,5.057318935,0.963758156,0.332913406
35.738767,3.9575676,11.464529,11.892104,5.101215164,0.963933356,0.332789522
35.738659,3.984447,11.461833,11.974548,5.14852321,0.963844334,0.332742998
35.739737,4.0384876,11.458921,12.13987,5.224673421,0.963801628,0.332663167
35.737257,4.0653454,11.457195,12.222314,5.250858504,0.963858044,0.332616671
35.737904,4.1188446,11.454931,12.38677,5.309277243,0.963931264,0.332519664
35.741463,4.1456374,11.453529,12.469646,5.349693663,0.963895172,0.332458307
35.733806,4.1992884,11.448891,12.634756,5.402612768,0.963996157,0.332360071
35.735747,4.225692,11.447058,12.715686,5.45106506,0.963902206,0.332321198
35.72809,4.2793642,11.441774,12.880574,5.516892582,0.963916764,0.332233967
35.723776,4.3063734,11.43994,12.963234,5.541299548,0.963980093,0.332199002
35.727551,4.3595916,11.437352,13.127474,5.613990219,0.963956862,0.332096761
35.730247,4.3865358,11.436705,13.209484,5.659035898,0.963893553,0.332074728
35.720325,4.4392142,11.431097,13.371994,5.713613471,0.963967918,0.331978477
35.721619,4.4929296,11.427646,13.537098,5.797555554,0.96387697,0.331897546
35.717737,4.519809,11.42441,13.619542,5.842117332,0.96381186,0.331862041
35.715364,4.5732002,11.419989,13.783566,5.925337687,0.963722462,0.331786433
35.718168,4.6001444,11.420959,13.86601,5.9455988,0.963814468,0.331756893
35.723884,4.6531682,11.417832,14.029384,6.044091434,0.963640023,0.331673023
35.720972,4.680199,11.417293,14.112044,6.059916257,0.963752418,0.33164572
35.722051,4.7338712,11.412871,14.277148,6.160340062,0.963570613,0.331569807
35.727874,4.7602964,11.413518,14.358944,6.189204177,0.963609029,0.331521343
35.720865,4.814012,11.407802,14.524264,6.270744853,0.963533843,0.331446192
35.717629,4.841043,11.405214,14.606492,6.320410798,0.96344694,0.331430914
35.718923,4.8943908,11.402194,14.770948,6.401153457,0.963384814,0.331352517
35.72108,4.9214648,11.401439,14.85361,6.447509493,0.963324755,0.331331225
35.718923,4.9748344,11.397773,15.017416,6.530628257,0.963248254,0.331270999
35.717845,5.0016706,11.396155,15.10051,6.561142693,0.963273533,0.331225276
35.708354,5.0552138,11.390547,15.265398,6.632130523,0.963259615,0.331155061
35.711806,5.0816176,11.389792,15.345678,6.689661378,0.963137028,0.331143244
35.707815,5.135333,11.384184,15.511216,6.78898372,0.962976891,0.331072238
35.706737,5.1622124,11.382998,15.594092,6.818242457,0.963009823,0.331036421
35.703933,5.2154306,11.379655,15.75725,6.89931596,0.962949011,0.330986092
35.703286,5.2423748,11.376635,15.83991,6.965132301,0.962787134,0.330959886
35.700374,5.295139,11.373076,16.002636,7.039247254,0.96276288,0.330891673
35.703717,5.3219536,11.371027,16.084862,7.112125128,0.962570427,0.330867222
35.698433,5.3756042,11.365635,16.249968,7.209441319,0.962431386,0.330807064
35.695629,5.4022242,11.364772,16.33133,7.233948911,0.962486482,0.330788993
35.694442,5.4557672,11.360242,16.496218,7.339537321,0.962311205,0.330728365
35.688619,5.5091368,11.355821,16.659808,7.427686732,0.962221885,0.330684291
35.688727,5.5359946,11.353125,16.74247,7.493245234,0.962073459,0.330655787
35.68355,5.5896236,11.34935,16.907364,7.570021598,0.962046966,0.330602902
35.684952,5.6159624,11.347301,16.988294,7.634063183,0.961906889,0.330578362
35.682687,5.6695918,11.343526,17.153398,7.726253416,0.961809125,0.330522955
35.682795,5.6965144,11.342016,17.235842,7.778359812,0.961733392,0.330503981
35.676756,5.750338,11.336516,17.401596,7.879934264,0.961590039,0.330448885
35.677403,5.777304,11.335007,17.484258,7.935016242,0.96150278,0.330428892
35.674275,5.8306302,11.330801,17.64828,8.034356506,0.961373937,0.330379516
35.670932,5.8574014,11.326702,17.731374,8.100977688,0.961228019,0.330341089
35.669314,5.9112258,11.323575,17.89583,8.204595993,0.96108788,0.330313028
35.665001,5.9376078,11.321418,17.977192,8.237483026,0.96110079,0.330285609
