VIN,IIN,VOUT,IOUT,P_LOSS,EFF,D
75.12329,0.3891564,11.992864,2.024752,4.952133723,0.83060773,0.192199539
75.118113,0.4024124,11.993727,2.10698,4.957917221,0.835985121,0.190990138
75.118437,0.4286,11.993619,2.27057,4.963410605,0.845836524,0.188763174
75.123182,0.4417912,11.992864,2.353232,4.966769387,0.85034785,0.187738056
75.121025,0.468411,11.993619,2.516822,5.001710282,0.857855539,0.186112089
75.118653,0.4815588,11.993403,2.599266,5.000003754,0.86177926,0.185267225
75.114878,0.5079624,11.992541,2.764586,5.001122752,0.868927983,0.183739048
75.109486,0.5209156,11.992648,2.844002,5.018588068,0.871731683,0.183162881
75.114231,0.5474922,11.993295,3.00954,5.030154547,0.877684592,0.181918898
75.11078,0.560748,11.99308,3.091984,5.035808193,0.880436347,0.181355402
75.113692,0.58713,11.992756,3.256006,5.053016491,0.88542303,0.180322149
75.113907,0.6004724,11.99308,3.338234,5.068120589,0.887634358,0.179877264
75.108623,0.6268328,11.993619,3.501608,5.08359622,0.892023428,0.179012842
75.109162,0.6401752,11.99308,3.583836,5.10179095,0.89389621,0.178628486
75.108084,0.6669032,11.993295,3.749158,5.12506367,0.897682533,0.177880794
75.105819,0.6800294,11.993835,3.83052,5.131540187,0.899527673,0.177529265
75.106574,0.7066276,11.993295,3.995408,5.15427134,0.902882224,0.176859935
75.105388,0.720143,11.993727,4.077202,5.185771719,0.904120986,0.176626765
75.103015,0.74659,11.993619,4.241662,5.198282014,0.907291342,0.176013553
75.09978,0.7600188,11.992972,4.324756,5.210567061,0.908710256,0.175736805
75.100427,0.7867252,11.992972,4.488778,5.249609583,0.91114916,0.175264894
75.098485,0.8134748,11.992864,4.653234,5.285122544,0.913487317,0.174819233
75.100642,0.8269902,11.993619,4.736112,5.304372078,0.914593688,0.174613734
75.096329,0.8534808,11.992325,4.89927,5.339636849,0.916689593,0.174205708
75.09676,0.8669312,11.992972,4.982146,5.352986785,0.917777564,0.174007586
75.095142,0.8937458,11.99308,5.145952,5.400153751,0.919539956,0.173679389
75.094927,0.9072396,11.99308,5.228396,5.424520034,0.9203788,0.173521592
75.093848,0.9340108,11.993727,5.393502,5.450274484,0.922292647,0.173173348
75.089642,0.9470936,11.993943,5.473132,5.472486125,0.923049449,0.173044173
75.091799,0.9740596,11.993727,5.638886,5.512628429,0.924633095,0.172739722
75.090289,0.987683,11.993943,5.721332,5.544072018,0.925247192,0.172631653
75.082848,1.014411,11.993511,5.885786,5.573627788,0.926821538,0.172349284
75.086191,1.0278832,11.992217,5.967798,5.612705653,0.927277563,0.172238269
75.084573,1.0545466,11.993188,6.131172,5.647882713,0.9286705,0.171997556
75.082309,1.0682998,11.993295,6.21405,5.683480893,0.929142857,0.171916834
75.084573,1.095136,11.993188,6.37937,5.718835205,0.930451333,0.171668362
75.082956,1.1085216,11.993619,6.4603,5.748701692,0.930930828,0.171589802
75.082309,1.1358118,11.993403,6.625404,5.818232324,0.931774447,0.171432836
75.078318,1.149284,11.993727,6.707848,5.834211955,0.932385427,0.171334234
75.078103,1.1764012,11.993295,6.873386,5.887424516,0.933341336,0.171153082
75.078534,1.1900896,11.994158,6.95583,5.920858456,0.933734232,0.171092393
75.075083,1.2169906,11.993511,7.119638,5.976213636,0.934590163,0.170934337
75.076485,1.2304412,11.992541,7.202514,6.000755847,0.935040726,0.170834961
75.07325,1.2582504,11.993188,7.36762,6.099695069,0.935426276,0.170781121
75.074328,1.2800916,11.993619,7.45028,6.746196885,0.929801714,0.171817918
75.070769,1.307317,11.993403,7.616034,6.799127493,0.930721032,0.171653252
75.071201,1.334391,11.993403,7.780056,6.864988003,0.931469592,0.171514318
75.068073,1.3480144,11.993727,7.862068,6.897346137,0.931839586,0.171457993
75.063651,1.3750884,11.993511,8.026956,6.947770669,0.932689135,0.171308825
75.060308,1.3882796,11.993188,8.10702,6.975679386,0.933057916,0.171244132
75.063112,1.4155914,11.993619,8.272342,7.043377619,0.933714812,0.171123413
75.063759,1.4291284,11.993188,8.35457,7.077821128,0.934022171,0.17105948
75.062034,1.4561376,11.99405,8.51903,7.122978268,0.934831327,0.170927629
75.061494,1.4695664,11.994374,8.601474,7.138553409,0.935285173,0.170850531
75.059661,1.4966188,11.993619,8.764848,7.213452269,0.935786644,0.170752396
75.062573,1.510199,11.993295,8.847724,7.246058671,0.936078903,0.170687851
75.055347,1.537511,11.993835,9.012396,7.305231043,0.936695572,0.170599583
75.056102,1.5510696,11.99308,9.093542,7.357661417,0.93679921,0.170568256
75.053514,1.5783166,11.993295,9.258648,7.416510269,0.937391334,0.170469447
75.053298,1.5920266,11.99308,9.340876,7.460973696,0.937558201,0.170436541
75.05222,1.6186896,11.99308,9.502302,7.524379901,0.938063937,0.170347101
75.048337,1.6323348,11.993403,9.58453,7.552881312,0.938345845,0.170309321
75.049416,1.6595818,11.993403,9.748984,7.627150942,0.938762654,0.170231257
