VIN,IIN,VOUT,IOUT,P_LOSS,EFF,D
36.016793,0.7146936,11.442529,2.024536,2.575159558,0.899958727,0.353016
36.01194,0.7412702,11.438215,2.106764,2.59695838,0.902715885,0.351852509
36.007194,0.7934072,11.428832,2.27057,2.618403897,0.908346042,0.349430848
36.005685,0.819919,11.424842,2.353448,2.633973684,0.910778524,0.348390532
36.001371,0.8721212,11.415136,2.517254,2.662762122,0.915192065,0.34645737
35.997273,0.8984384,11.411361,2.599266,2.680169697,0.917128655,0.345650811
35.997704,0.9511158,11.402734,2.764586,2.71414626,0.920727045,0.344035526
35.995655,0.9765464,11.398528,2.844868,2.724119752,0.922503296,0.343265979
35.988753,1.0292888,11.389792,3.009972,2.759865383,0.925495269,0.341959593
35.98789,1.0555412,11.384939,3.091984,2.784651367,0.926694045,0.341379904
35.983037,1.108089,11.376743,3.25644,2.824726511,0.929155858,0.340276191
35.981635,1.1343414,11.372429,3.338884,2.844236991,0.930314711,0.33973669
35.974409,1.2248188,11.703299,3.507884,3.008317153,0.931725566,0.349161717
35.971282,1.2519144,11.700064,3.590976,3.0183169,0.932975392,0.348627894
35.971821,1.3056952,11.696289,3.755866,3.038539834,0.935306492,0.347641583
35.967939,1.3322718,11.694779,3.837228,3.043537401,0.936485884,0.347196414
35.960821,1.3860954,11.688955,4.002116,3.06457474,0.938518069,0.346340636
35.957693,1.4131046,11.685397,4.084776,3.079752168,0.939389253,0.345944208
35.951977,1.4666254,11.680651,4.249236,3.094239916,0.941317041,0.345150375
35.945938,1.4935914,11.6772,4.332114,3.101582261,0.942230092,0.344771952
35.93731,1.5470042,11.670837,4.496352,3.11897822,0.943898395,0.344057627
35.925555,1.6011306,11.662641,4.661458,3.156594242,0.945123233,0.34348279
35.899672,1.627945,11.653366,4.743686,3.162782387,0.945882328,0.343181442
35.840897,1.681272,11.630719,4.907492,3.180636134,0.947216627,0.342592917
35.848661,1.7083242,11.632337,4.990152,3.194005379,0.947845425,0.342339111
